EX 6-7,EX 6-8,EX 6-9,EX 6-10,EX 6-11,EX 6-12,EX 6-15 Exercise,EX 6-15 No Exercise,EX 6-16,EX 6-17,EX 6-18,EX 6-19,EX 6-22,EX 6-23,EX 6-24,EX 6-25,EX 6-29 Country,Ex 6-29 Kilowatts,Ex 6-30,Ex 6-31,Ex 6-32,Ex 6-33,Ex 6-34,Ex 6-35,Ex 6-36,Ex 6-37,EX 6-53,EX 6-54,EX 6-55,EX 6-64,EX 6-65 High Dose,EX 6-65 Control,EX 6-65 Control,EX 6-65 Control,EX 6-66,EX 6-67,EX 6-68,EX 6-69,EX 6-71 year,EX 6-71 No of Earthquakes,EX 6-72 year,EX 6-72 Petroluem Imports,EX 6-72 Percent of Petroluem Products,EX 6-72 Petroluem Imports from Persian Gulf,EX 6-83 2000,EX 6-83 2001,EX 6-83 2002,EX 6-83 2003,EX 6-83 2004,EX 6-83 2005,EX 6-83 2006,EX 6-83 2007,EX 6-83 2008,EX 6-83 2009,EX 6-84,EX 6-85 1999,EX 6-85 2000,EX 6-85 2001,EX 6-85 2002,EX 6-85 2003,EX 6-85 2004,EX 6-85 2005,EX 6-85 2006,EX 6-85 2007,EX 6-85 2008,EX 6-85 2009,EX 6-87 Sample1,EX 6-87 Sample 2,EX 6-88,EX 6-89 Year,EX 6-89 Energy Consumption,EX 6-91,EX 6-91,EX 6-91,EX 6-91,EX 6-91,EX 6-91,EX 6-91,EX 6-91,EX 6-92,EX 6-93,EX 6-94,EX 6-100,EX 6-101,EX 6-101,EX 6-101,EX 6-101,EX 6-101,EX 6-102,EX 6-103 Year,EX 6-103 Drowning Rate,EX 6-104 Symptoms,EX 6-104 Numbers,Example6-4Strength,Example6-7Life,Example6-5Yield,Table6-2
74.001,0.19,6981,96,36.45,562,425.313,485.396,8.85,7.15,79,84,88.5,1115,34.2,94.1,Afghanistan,1.04,62,5408,42.4,261.3,680,94,450,69,1.75,4.2,953,1.83,16.1,297.1,820.1,166.5,47.9,241,17,101,1900,13,1973,6256,36.1,13.5,12.3,12.4,12.7,12.6,12.6,12.6,12.4,12.8,12.2,12.5,63.2,4.3,4.0,4.2,5.7,5.8,5.7,5.2,4.7,4.6,4.9,7.6,10,10,13.3,1980,2094.5,2.851,2.541,3.113,5.375,3.633,4.016,2.639,3.934,43,9,3,675,850,960,880,890,890,5.5,1970,19.9,Chest pain,8,105,176,61,105
74.003,0.78,7099,96,67.9,869,223.306,159.471,35.8,7.2,100,49,94.7,1310,33.1,93.2,Australia,200.66,64,5420,54.3,258.1,677,90,450,70,1.92,4.7,950,1.99,134.9,491.8,82.5,2258.4,47.9,258,16.6,82,1901,14,1974,6112,36.7,17.0,12.6,12.5,12.9,12.6,12.8,12.5,12.6,12.7,12.4,12.6,67.1,4.4,4.1,4.2,5.7,5.9,5.6,5.4,4.8,4.5,4.8,8.1,9,6,14.5,1981,2147.1,2.672,2.475,3.006,3.088,4.292,3.957,2.899,3.162,47,12,1,3650,1000,830,880,910,870,5.57,1971,16.1,Difficulty breathing,7,221,191,63,221
74.015,0.96,6930,102,38.77,708,388.793,478.314,26.53,7.18,74,61,84.3,1540,34.5,90.6,Bangladesh,16.2,66,5407,56.3,254.2,649,88,473,71,2.62,4.7,948,3.13,52.7,1332.9,713.9,497.5,48.6,237,16.3,66,1902,8,1975,6056,37.1,19.2,13.2,13.3,13.4,13.2,13.3,13.4,13.2,13.3,13.4,13.2,65.8,4.2,4.0,4.3,5.7,5.9,5.8,5.2,4.7,4.4,5.1,8.5,8,10,15.3,1982,2086.4,2.755,3.031,4.047,3.718,4.154,4.51,3.37,4.286,51,6,0,175,740,940,880,810,840,5.42,1972,19.5,Numbness in extremities,3,183,214,64,183
74.000,1.31,6992,102,42.18,775,139.262,245.782,64.63,7.19,83,40,90.1,1502,35.6,91.4,Burma,6.88,67,5463,61.4,257.7,681,85,507,68,2.35,5,955,3.29,14.4,1172,785.6,263.4,48,210,16.1,35,1903,10,1976,7313,41.8,25.1,14.3,14.2,14.2,14.2,14.3,14.4,14.2,14.4,14.1,14.3,64,4.3,3.8,4.4,5.9,6.0,5.6,5.2,4.7,4.5,5.0,8.9,7,6,15.3,1983,2151.0,2.721,3.266,3.523,4.514,4.121,4.276,3.74,4.676,48,9,1,1150,980,790,910,920,870,5.61,1973,19.8,Broken bones,11,186,220,65,186
74.005,2.78,7518,102,26.72,775,212.565,236.212,9,7.21,81,83,89,1258,36.3,88.2,China,"1,671.23",65,5399,42.6,237.9,652,90,457,72,3.09,3.8,951,2.65,124.3,1482.7,114,252.3,48.4,194,17.1,31,1904,16,1977,8807,47.7,27.8,15.3,15.4,15.3,15.4,15.2,15.4,15.3,15.3,15.2,15.3,65.1,4.2,4.0,4.3,5.8,6.1,5.6,5.1,4.7,4.5,5.5,9.4,8,8,14.3,1984,2285.8,2.946,3.776,3.937,4.52,4.647,4.968,2.927,5.01,52,7,3,290,900,960,880,810,780,5.53,1974,21.3,Abrasions,16,121,205,65,121
74.002,3.16,7100,104,50.77,704,324.024,252.773,15.38,7.2,85,67,89.8,1315,35.1,86.1,Hong Kong,38.43,68,5445,61.4,255.8,717,93,452,69,3.15,3.6,949,2.87,99,335.4,31.9,351.4,48.1,225,16.9,7,1905,26,1978,8363,44.3,26.5,15.9,16.0,16.1,16.0,16.0,16.2,16.1,16.0,16.0,16.1,65.3,4.3,4.0,4.5,5.8,6.3,5.6,5.1,4.6,4.6,5.6,9.5,6,10,14.8,1985,2324.0,3.036,3.23,3.986,4.539,4.753,4.677,3.986,4.874,50,14,2,2000,930,810,850,890,810,5.47,1975,15.0,Cuts,21,181,192,66,181
74.005,4.15,6935,104,39.3,809,208.475,406.921,8.14,7.16,82,45,91.6,1085,34.7,95.1,India,519.04,61,5381,65.7,241.4,704,95,453,69,2.53,3,957,3.4,24.3,528.9,86.3,678.9,48,248,16.8,20,1906,32,1979,8456,45.6,24.4,16.2,16.3,16.4,16.3,16.3,16.4,16.4,16.3,16.3,16.4,,4.3,4.0,4.6,5.8,6.2,5.5,5.0,4.7,4.7,5.8,9.4,10,8,15.2,1986,2368.8,2.282,3.028,3.26,3.663,3.965,3.523,4.217,4.633,46,12,4,100,1070,940,860,820,810,4.88,1976,15.5,Stab wounds,9,180,201,70,180
74.004,4.67,7518,108,49.71,856,286.484,335.209,8.24,7.18,80,66,90.3,798,33.6,90,Indonesia,101.8,65,5401,54,256.8,683,91,1215,68,1.91,5.1,954,2.46,16.3,24.1,646.6,3010.2,48.6,203,17.4,92,1907,27,1980,6909,40.5,21.9,16.0,16.2,16.1,16.2,16.1,16.2,16.2,16.1,16.1,16.2,,4.2,4.1,4.9,5.7,6.1,5.4,4.9,4.7,4.7,6.2,9.7,6,6,14.5,1987,2457.3,2.212,1.759,1.573,1.643,1.723,1.821,1.738,1.659,49,4,1,375,650,880,870,860,740,5.62,1977,16.4,Gunshot wounds,4,143,190,71,143
,4.85,7013,126,,655,244.242,,,,84,70,90,1020,37.8,92.4,Japan,946.27,67,5458,43.3,255.3,662,92,1256,69,,3.1,955,1.89,15.2,545.2,169.9,67.1,48.8,195,17.1,154,1908,18,1981,5996,37.3,20.3,15.4,15.5,15.5,15.6,15.5,15.7,15.6,15.5,15.5,15.6,,4.2,3.9,5.0,5.7,6.1,5.4,5.0,4.5,4.7,6.2,9.8,,,14.6,1988,2578.1,2.922,3.595,3.528,4.739,5.048,5.222,5.221,5.591,45,6,3,,930,880,720,800,760,5.63,1978,18.2,Blunt force trauma,10,97,183,71,97
,6.5,6800,126,,806,408.099,,,,,69,91.5,865,36.6,87.3,"Korea, North",17.43,65,5383,64,255,681,87,1145,73,,3.8,,3.35,47.7,92.9,20.2,318.2,48.1,249,17,125,1909,32,1982,5113,33.4,13.6,14.3,14.5,14.5,14.7,14.6,14.6,14.6,14.5,14.6,,,4.1,3.9,5.3,5.7,6.0,5.5,5.0,4.4,4.8,6.6,,,,14.1,1989,2755.6,4.301,4.474,5.211,5.428,6.922,6.873,6.424,6.981,52,7,1,,760,880,840,880,810,4.07,1979,15.3,"Fainting, loss of consciousness",5,154,185,73,154
