Ex8-11,Ex8-21,Ex8-32,Ex8-33,Ex8-34,Ex8-36,Ex8-37,Ex8-38,Ex8-39,Ex8-41,Ex8-49,Ex8-49,Ex8-50,Ex8-51,Ex8-52,Ex8-86,Ex8-87,Ex8-91,Ex8-92,Ex8-94,Ex8-95,Ex8-99,Ex8-100,Example8-4Concentration,Example8-5Load
91.6,15.2,230.66,499.2,55.291,16.8,2216,8.24,3.775302,2.94,Sky Harbor Airport,23.3,101,3.481,22.2,15.3,40.2,210,0.6248,5,1.542,22,5.4,1.23,19.8
88.75,14.2,233.05,555.2,59.718,17.2,2225,8.21,3.350679,2.9,Phoenix Greenway,21.7,104,3.477,24.7,14.9,25.8,215,0.652,3.4,1.622,26,5.67,1.33,15.4
90.8,14,232.58,398.8,62.688,17.4,2318,8.23,4.217981,3,Phoenix Encanto,21.6,104,3.47,20.9,16,30.4,194,0.6226,3.9,1.44,19,5.79,0.04,11.4
89.95,12.2,229.48,391.9,63.886,16.9,2237,8.25,4.030324,2.75,Waddell,21.7,77,3.448,26,14.8,18.4,195,0.623,1.3,1.459,27,6.85,0.044,19.5
91.3,14.4,232.58,453.4,66.458,16.5,2301,8.26,4.639692,2.9,Litchfield,21.3,89,3.472,27,16,28.9,211,0.6237,0.2,1.598,37,6.92,1.2,10.1
,12.5,,459.8,68.548,17.1,2255,8.23,4.139665,2.95,Laveen,20.7,88,3.47,24.8,15.7,14.2,201,0.6368,0.9,1.585,27,5.7,0.27,18.5
,14.3,,483.7,69.857,,2249,8.2,4.395575,2.75,Maricopa,20.9,104,3.485,26.5,15,30.5,198,0.628,2.7,1.466,14,6.08,0.49,14.1
,14.2,,417.6,70.833,,2281,8.26,4.824257,2.82,Harlquahala,20.1,96,3.464,23.8,14.6,15.3,204,0.6131,3.7,1.608,19,5.48,0.19,8.8
,13.5,,469.2,70.237,,2275,8.19,4.268119,3,,,82,3.477,25.6,14.4,22.4,208,0.6118,3.8,1.533,23,5.44,0.83,14.9
,11.8,,454.4,69.787,,2204,8.23,4.584193,2.81,,,70,3.475,23.9,15.3,,196,0.622,4.1,1.498,18,5.51,0.81,7.9
,15.2,,499.3,68.793,,2263,8.2,4.930027,2.95,,,89,3.472,,15.7,,,0.6096,1,1.532,18,,0.71,17.6
,,,340.6,66.388,,2295,8.28,4.315973,3.05,,,91,3.473,,15.6,,,0.6223,1,1.546,,,0.5,13.6
,,,522.8,65.454,,,8.24,4.600101,,,,39,3.472,,16.2,,,0.6159,0.8,1.52,,,0.49,7.5
,,,469.9,64.391,,,8.25,,,,,103,3.47,,14.6,,,0.6151,0.4,1.532,,,1.16,12.7
,,,527.2,63.62,,,8.24,,,,,93,3.474,,16.2,,,0.63,3.8,1.6,,,0.05,16.7
,,,565.5,63.287,,,,,,,,85,,,14.5,,,0.6297,4.5,1.466,,,0.15,11.9
,,,584.1,,,,,,,,,104,,,16.2,,,0.6298,5.3,1.494,,,0.19,15.4
,,,727.3,,,,,,,,,104,,,15.7,,,0.6121,6.1,1.478,,,0.77,11.9
,,,558.6,,,,,,,,,81,,,14.7,,,0.6107,6.9,1.523,,,1.08,15.8
,,,338.6,,,,,,,,,67,,,15.2,,,0.6435,6.5,1.504,,,0.98,11.4
,,,,,,,,,,,,104,,,,,,0.6192,,1.499,,,0.63,15.4
,,,,,,,,,,,,104,,,,,,0.6548,,1.548,,,0.56,11.4
,,,,,,,,,,,,104,,,,,,0.6392,,1.542,,,0.41,
,,,,,,,,,,,,87,,,,,,0.5978,,1.397,,,0.73,
,,,,,,,,,,,,104,,,,,,0.6351,,1.545,,,0.59,
,,,,,,,,,,,,89,,,,,,0.6128,,1.611,,,0.34,
,,,,,,,,,,,,78,,,,,,0.6134,,1.626,,,0.34,
,,,,,,,,,,,,104,,,,,,0.6275,,1.511,,,0.84,
,,,,,,,,,,,,86,,,,,,0.6403,,1.487,,,0.5,
,,,,,,,,,,,,76,,,,,,0.631,,1.558,,,0.34,
,,,,,,,,,,,,103,,,,,,0.6261,,,,,0.28,
,,,,,,,,,,,,102,,,,,,0.6521,,,,,0.34,
,,,,,,,,,,,,80,,,,,,0.6065,,,,,0.75,
,,,,,,,,,,,,45,,,,,,0.6262,,,,,0.87,
,,,,,,,,,,,,94,,,,,,0.6049,,,,,0.56,
,,,,,,,,,,,,104,,,,,,0.6214,,,,,0.17,
,,,,,,,,,,,,104,,,,,,0.6262,,,,,0.18,
,,,,,,,,,,,,76,,,,,,0.617,,,,,0.19,
,,,,,,,,,,,,80,,,,,,0.6141,,,,,0.04,
,,,,,,,,,,,,72,,,,,,0.6314,,,,,0.49,
,,,,,,,,,,,,73,,,,,,,,,,,1.1,
,,,,,,,,,,,,,,,,,,,,,,,0.16,
,,,,,,,,,,,,,,,,,,,,,,,0.1,
,,,,,,,,,,,,,,,,,,,,,,,0.21,
,,,,,,,,,,,,,,,,,,,,,,,0.86,
,,,,,,,,,,,,,,,,,,,,,,,0.52,
,,,,,,,,,,,,,,,,,,,,,,,0.65,
,,,,,,,,,,,,,,,,,,,,,,,0.27,
,,,,,,,,,,,,,,,,,,,,,,,0.94,
,,,,,,,,,,,,,,,,,,,,,,,0.4,
,,,,,,,,,,,,,,,,,,,,,,,0.43,
,,,,,,,,,,,,,,,,,,,,,,,0.25,
,,,,,,,,,,,,,,,,,,,,,,,0.27,
