Ex9-57,Ex9-58,Ex9-59,Ex9-60,Ex9-61,Ex9-96,Ex9-97,Ex9-98,Ex9-99,Ex9-100,Ex9-101,Ex9-102,Ex9-102,Ex9-103,Ex9-103,Ex9-103,Ex9-103,Ex9-103,Ex9-104,Ex9-104,Ex9-104,Ex9-105,Ex9-105,Ex9-105,Ex9-105,Ex9-105,Ex9-106,Ex9-106,Ex9-106,Ex9-106,Ex9-107,Ex9-107,Ex9-107,Ex9-107,Ex9-107,Ex9-108,Ex9-108,Ex9-108,Ex9-110,Ex9-111,Ex9-112,Ex9-115,Ex9-116,Ex9-117,Ex9-121,Ex9-122,Ex9-133,Ex9-141,Ex9-143,Ex9-144,Ex9-145,Ex9-146,Example9-6,Example9-15
421,23.01,97.8,18,131.15,24,1,0.067,4,39,14,1900,13,1,41,20,12,16,Yes,46,52,A,25,6,17,13,0-1999,6,14,8,1,22,46,18,9,Freshman,120,80,7.91,8.32,2.4,0.265,63,1.6,18,220,16.628,11.48,78.3,6.02,0.65,6.06,0.8411,2158.7
452.6,22.22,97.2,30.7,130.69,30,11,0.067,21,23,24,1901,14,2,31,11,9,14,No,36,43,B,17,16,15,6,2000-5999,9,11,4,2,4,17,6,12,Sophomre,70,130,7.85,8.05,2.5,0.263,65,1.3,16,225,16.622,11.45,77.1,6.08,0.9,6.16,0.8191,1678.15
456.1,22.04,97.4,19.8,130.91,31,8,0.1,10,13,57,1902,8,3,15,17,16,10,,,,C,18,4,18,10,6000-11999,8,17,6,,,,,,Junior,60,70,6.82,8.93,1.7,0.266,58,1.5,13,297,16.627,11.48,71.3,7.11,0.78,6.57,0.8182,2316
494.6,22.62,97.6,27.1,129.54,11,13,0.133,13,1,111,1903,10,,,,,,,,,Other,10,8,11,20,,,,,,,,,,Senior,40,60,8.01,8.65,1.6,0.267,60,1.6,16,315,16.623,11.47,84.5,5.73,0.94,6.67,0.8125,2061.3
373.8,22.59,97.8,22.3,129.64,4,11,0.2,2,,194,1904,16,,,,,,,,,,,,,,,,,,,,,,,,,,7.46,8.25,1.9,0.267,55,1.7,15,282,16.618,11.48,87.8,5.32,0.4,6.98,0.875,2207.5
447.8,,97.9,18.8,128.77,,12,0.133,,,256,1905,26,,,,,,,,,,,,,,,,,,,,,,,,,,6.95,8.46,2.6,0.265,57,1.9,12,313,16.63,11.45,75.7,7.1,0.94,6.17,0.858,1708.3
687.6,,98,31.8,130.72,,10,0.133,,,296,1906,32,,,,,,,,,,,,,,,,,,,,,,,,,,7.05,8.52,1.3,0.267,53,1.8,9,,16.631,11.47,64.8,5.29,0.84,6.17,0.8532,1784.7
705.7,,98,23.4,128.33,,9,0.067,,,378,1907,27,,,,,,,,,,,,,,,,,,,,,,,,,,7.35,8.35,1.9,0.267,59,1.6,14,,16.624,11.46,72.5,5.84,0.9,6.93,0.8483,2575.1
879,,98,21.2,128.24,,,0.033,,,250,1908,18,,,,,,,,,,,,,,,,,,,,,,,,,,7.25,8.36,2,0.265,,1.4,12,,16.622,11.47,78.2,6.03,0.91,6.73,0.8276,2357.9
88.8,,98.1,27.9,129.65,,,0.067,,,185,1909,32,,,,,,,,,,,,,,,,,,,,,,,,,,7.42,8.41,2.5,0.268,,1.8,8,,16.626,11.43,91.2,5.99,0.92,6.87,0.7983,2256.7
90.5,,98.2,31.9,130.14,,,,,,171,1910,36,,,,,,,,,,,,,,,,,,,,,,,,,,,8.42,2.6,0.268,,1.9,16,,,11.5,86.2,4.53,0.96,6.76,0.8042,2165.2
110.7,,98.3,27.1,129.29,,,,,,150,1911,24,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,2.3,0.263,,1.8,12,,,11.42,80.9,6.81,0.91,,0.873,2399.55
96.4,,98.3,25,128.71,,,,,,110,1912,22,,,,,,,,,,,,,,,,,,,,,,,,,,,8.71,2,,,1.7,10,,,11.49,82.1,,0.86,,0.8282,1779.8
81.7,,98.4,24.7,129,,,,,,102,1913,23,,,,,,,,,,,,,,,,,,,,,,,,,,,8.75,1.8,,,1.5,8,,,11.45,89.3,,0.53,,0.8359,2336.75
102.4,,98.4,26.9,129.39,,,,,,96,1914,22,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,1.3,,,1.6,14,,,11.44,89.4,,0.84,,0.866,1765.3
296,,98.4,21.8,130.42,,,,,,90,1915,18,,,,,,,,,,,,,,,,,,,,,,,,,,,8.83,1.7,,,1.4,9,,,11.5,81.6,,0.42,,,2053.5
273,,98.5,29.2,129.53,,,,,,81,1916,25,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,2,,,1.3,5,,,11.49,,,0.5,,,2414.4
268,,98.6,34.8,130.12,,,,,,73,1917,21,,,,,,,,,,,,,,,,,,,,,,,,,,,8.38,1.9,,,1.6,18,,,11.45,,,0.96,,,2200.5
227.5,,98.6,26.7,129.78,,,,,,64,1918,21,,,,,,,,,,,,,,,,,,,,,,,,,,,8.29,2.3,,,1.5,12,,,11.46,,,0.56,,,2654.2
279.3,,98.7,31.6,130.92,,,,,,61,1919,14,,,,,,,,,,,,,,,,,,,,,,,,,,,8.46,1.9,,,1.8,,,,11.47,,,0.67,,,1753.7
241,,98.8,,,,,,,,59,1920,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,0.96,,,
296,,98.8,,,,,,,,50,1921,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,0.52,,,
317,,98.9,,,,,,,,42,1922,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,
290.9,,98.9,,,,,,,,29,1923,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,,,
256.5,,99,,,,,,,,18,1924,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
258.5,,,,,,,,,,15,1925,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,,,
296,,,,,,,,,,,1926,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,1927,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,1928,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,,,
,,,,,,,,,,,1929,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,
,,,,,,,,,,,1930,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,,,
,,,,,,,,,,,1931,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1932,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1933,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1934,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1935,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1936,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1937,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1938,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1939,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1940,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1941,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1942,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1943,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1944,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1945,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1946,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1947,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1948,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1949,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1950,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1951,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1952,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1953,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1954,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1955,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1956,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1957,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1958,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
