Ex10-4 Machine 1,Ex10-4 Machine 2,Ex10-8 Viscosity 1,Ex10-8 Viscosity 2,Ex10-9 Catalyst 1,Ex10-9 Catalyst 2,Ex10-18 Type1,Ex10-18 Type2,Ex10-19 Solution1,Ex10-19 Solution2,Ex10-28 Paper 1,Ex10-28 Paper 2,Ex10-29 Brand 1,Ex10-29 Brand 2,Ex10-30 Club1,Ex10-30 Club2,Ex10-31 Curcuit1,Ex10-31 Curcuit2,Ex10-32 Delta,Ex10-32 Alaska,Ex10-33 Unit1,Ex10-33 Unit2,Ex10-39 Brand1,Ex10-39 Brand2,Ex10-40 Language1,Ex10-40 Language2,Ex10-41 Before,Ex10-41 After,Ex10-42 Finite,Ex10-42 Equivalent,Ex10-43 Before,Ex10-43 After,Ex10-44 Test1,Ex10-44 Test2,Ex10-45 Order1,Ex10-45 Order2,Ex10-46 x1,Ex10-46 x2,Ex10-46 x3,Ex10-46 x4,Ex10-46 x5,Ex10-46 x6,Ex10-46 x7,Ex10-75 nine hour,Ex10-75 six hour,Ex10-76 Vendor1,Ex10-76 Vendor2,Ex10-77 Initial,Ex10-77 Final,Ex10-89 Mercedes,Ex10-89 Volkswagen,Ex10-90 Ridgecrest ,Ex10-90 Valley View,Ex10-91 Tip1,Ex10-91 Tip2,Ex10-92 Gauge1,Ex10-92 Gauge2,Ex10-93 Surface,Ex10-93 Bottom,Example10-5Catalyst1,Example10-5Catalyst2,Example10-6Metro,Example10-6Rural,Example10-9Alloy1,Example10-9Alloy2,Example10-10Karlsruhe,Example10-10Lehigh,Example10-11Auto1,Example10-11Auto2
16.03,16.02,724,735,57.9,66.4,206,177,9.9,10.2,3.481,3.258,275,258,0.8406,0.8305,251,250,13,15,25,31,36925,34318,17,18,265,229,14.58,14.76,195,187,1.2,1.4,6.08,5.73,30,58,87,115,120,142,145,19.8,14.9,96.8,106.8,165,161,24.7,41.7,755,756,47,46,46,47,3.74,5.44,91.5,89.19,3,48,3238,3261,1.186,1.061,37,17.8
16.04,15.97,718,775,66.2,71.7,188,197,9.4,10.6,3.477,3.254,286,244,0.8104,0.7905,255,253,10,8,27,33,45300,42280,16,14,240,231,48.52,49.1,213,195,1.3,1.7,6.22,5.8,33,69,111,156,172,203,203,18.5,12.7,99.6,103.2,201,195,24.8,42.3,753,755,42,40,50,53,4.61,6.88,94.18,90.95,7,44,3195,3187,1.151,0.992,25.8,20.2
16.05,15.96,776,729,65.4,70.3,205,206,9.3,10.7,3.47,3.258,287,260,0.8234,0.8352,258,249,1,3,29,32,36240,35500,21,19,258,227,97.22,99.99,247,221,1.5,1.5,7.99,8.42,30,51,75,108,115,139,140,17.6,11.9,99.7,102.6,195,192,24.9,41.6,752,755,43,45,47,45,4,5.37,92.18,90.46,25,40,3246,3209,1.322,1.063,16.2,16.8
16.05,16.01,760,755,65.4,69.3,187,201,9.6,10.4,3.448,3.254,271,265,0.8198,0.838,257,256,-4,-1,31,35,32100,31950,14,11,295,240,113.99,117.53,201,190,1.4,1.3,7.44,6.48,32,62,112,167,179,209,214,16.7,11.4,99.4,104,198,193,24.7,39.5,751,754,40,41,53,50,4.67,5.44,95.39,93.21,10,38,3190,3212,1.339,1.062,24.2,41.4
16.02,15.99,745,783,65.2,64.8,194,180,10.2,10.5,3.472,3.247,283,273,0.8235,0.8145,250,259,0,-2,30,34,37210,38015,18,23,251,238,174.73,181.22,187,175,1.7,2,6.48,6.43,30,49,81,125,142,174,177,16.7,10.1,98.6,104.6,155,150,24.5,41.9,753,756,42,43,49,51,4.87,5.03,91.79,97.19,15,33,3204,3258,1.2,1.065,22,21.4
16.01,16.03,759,760,62.6,69.6,193,176,10.6,10,3.47,3.239,271,281,0.8562,0.8465,251,252,9,4,26,29,48360,47800,24,21,245,421,212.72,220.14,210,197,1.8,2.1,7.99,8.76,,,,,,,,14.8,7.9,100,106.4,143,141,24.9,42.8,751,756,41,41,48,48,5.12,6.48,89.07,97.04,6,21,3254,3248,1.402,1.178,33.4,38.4
15.96,16.04,795,738,67.6,68.6,207,185,10.3,10.2,3.485,3.256,279,271,0.8123,0.8244,254,260,,,24,38,38200,37810,16,10,287,234,277.38,294.8,215,199,1.4,1.7,6.32,6.32,,,,,,,,15.4,,99.4,106.8,150,146,24.6,42.4,752,757,45,46,53,54,4.52,3.89,94.72,91.07,12,20,3229,3215,1.365,1.037,23.8,16.8
15.98,16.02,756,780,63.7,69.4,185,200,10,10.7,3.464,3.257,275,270,0.7976,0.8014,250,251,,,32,35,33500,33215,14,13,314,256,,,246,221,1.3,1.6,7.6,7.62,,,,,,,,14.1,,101.1,103.7,187,183,23.9,39.9,753,756,45,46,56,53,5.29,5.85,89.21,92.75,25,12,3225,3226,1.537,1.086,58.2,32.2
16.02,16.01,742,,67.2,65.3,189,197,10.3,10.4,3.477,3.245,263,263,0.8184,0.8309,248,,,,33,37,,,21,19,260,247,,,294,278,,,6.03,6.59,,,,,,,,13.6,,99.8,100.3,,,24.9,40.8,753,756,49,48,52,51,5.74,6.85,,,15,1,3217,3240,1.559,1.052,33.6,27.8
15.99,16,740,,71,68.8,213,192,10.1,10.3,3.475,3.249,267,268,0.8265,0.8405,,,,,38,30,,,23,24,279,239,,,310,285,,,7.52,7.67,,,,,,,,,,100.3,106.3,,,24.8,29.6,754,755,,,47,45,5.48,7.16,,,7,18,3241,3234,,,24.4,23.2
