Ex11-3 Player,Ex11-3 Team,Ex11-3 Yds ,Ex11-3 Rating,Ex11-4 Sale,Ex11-4 Taxes,Ex11-5 Temp,Ex11-5 Usage,Ex11-6 Carline,Ex11-6 Engine Replacement,Ex11-6 MPG,Ex11-7 y,Ex11-7 x,Ex11-8 y,Ex11-8 x,Ex11-9 y,Ex11-9 x,Ex11-10 y,Ex11-10 x,Ex11-11 y,Ex11-11 x,Ex11-12 Temp,Ex11-12 Porosity,Ex11-13 Time,Ex11-13 BOD,Ex11-14 Stress ,Ex11-14 Deflection,Ex11-15 x,Ex11-15 y,Ex11-17 Makes,Ex11-17 Model,Ex11-17 MPG,Ex11-17 Engine displacement,Ex11-35 BMI,Ex11-35 Age,Ex11-60 Compress,Ex11-60 Density,Ex11-70 x,Ex11-70 y,Ex11-71 Statistics,Ex11-71 OR,Ex11-72 Weight,Ex11-72 Systolic BP,Ex11-73 Supply Voltage,Ex11-73 Current WithoutElect,Ex11-74 2000,Ex11-74 2001,Ex11-76 x,Ex11-76 y,Ex11-78 Temp,Ex11-78 Vapor pressure,Ex11-79 x,Ex11-79 y,Ex11-80 Household,Ex11-80 Income,Ex11-80 Homeownership,Ex11-81 Load,Ex11-81 n,Ex11-81 Number Failing,Ex11-82 Discount,Ex11-82 n,Ex11-82 Number Redeemed,Ex11-83 Income,Ex11-83 Age,Ex11-83 y,Ex11-85 y,Ex11-85 x,Ex11-86 y,Ex11-86 x,Ex11-87 x,Ex11-87 y,Ex11-88 Year,Ex11-88 y,Ex11-88 x,Ex11-90 Years,Ex11-90 Days,Ex11-90 Index,Ex11-91 Ratio,Ex11-91 Viscosity,Ex11-92 Thermocouple,Ex11-92 IR,Ex11-93 y,Ex11-93 x,Ex11-94 power, Ex 11-94 No of Atoms,Ex11-95 carat,Ex11-95 price,Ex11-96 Year,Ex11-96 Population,Ex11-96 Count,Example11-1Level,Example11-1Purity,Example11-9Velocity,Example11-9DCOutput
Philip Rivers,SD,8.39,105.5,25.9,4.9176,21,185.79,300C/SRT-8,215,30.8,40,825,1,60,240,1.6,4.4,0.19,2158.7,15.5,1100,30.8,1,0.6,54,16.473,1,1.8,Acura,Legend,30,"1,589.55",19.92,45.5,3040,29.2,23.1,10.5,86,80,165,130,0.66,7.32,12.28,12.44,-4,0,273,4.6,679,0.79,1,38000,0,2500,50,10,5,500,100,45000,2,0,0.734,1.1,101.4,1,10,0.1,1924,8,1.35,1976,91,16.7,1,0.45,921,918,4.3,2.5,11,0,0.3,1302,1991,3559470,0.342,0.99,90.01,5,1.582
Chad Pennington,MIA,7.67,97.4,29.5,5.0208,24,214.47,CARAVAN 2WD,201,32.5,42,830,0,63,181,9.4,6.6,0.15,1678.15,23.75,1200,19.2,2,0.7,54,18.693,1.5,1.85,BMW,735i,19,"3,424.90",20.59,34.6,2470,24.7,32.8,16.7,75,81,167,133,1.32,12.22,12.63,12.55,-3,-2.65,283,9.2,292,0.44,2,51200,1,2700,70,17,7,500,122,40000,4,0,0.886,1.2,117.4,1.5,15,0.13,1925,8,1.96,1977,105,17.1,0.9,0.2,935,934,1.5,3,12,0.02,0.3,1510,1992,3600576,0.291,1.02,89.05,6,1.822
Kurt Warner,ARI,7.66,96.9,27.9,4.5429,32,288.03,CROSSFIRE ROADSTER,196,35.4,49,890,1,65,193,15.5,9.7,0.57,2316,8,1300,6,4,1.5,61,14.305,1.5,1.87,Buick,Regal,29,"2,834.96",29.02,40.6,3610,32.3,31.8,18.2,69,75,180,150,1.98,16.34,13.22,13.35,-3,2.65,293,17.5,1012,0.56,3,39600,0,2900,100,30,9,500,147,60000,3,1,1.04,1.3,117.1,1.5,18,0.09,1926,9,2.27,1978,106,18.2,0.8,0.34,916,924,1.8,3.5,18,0.08,0.3,1510,1993,3634507,0.291,1.15,91.43,3.4,1.057
Drew Brees,NO,7.98,96.2,25.9,4.5573,47,424.84,DAKOTA PICKUP 2WD,226,28.1,46,895,2,70,155,20,10.6,0.7,2061.3,17,1100,13.5,6,1.9,61,15.121,1.5,1.77,Chevrolet,Cavalier,32,"1,982.83",20.78,32.9,3480,31.3,32,17,75,81,155,128,2.64,23.66,14.21,14.22,-2,-3.46,303,31.8,493,0.79,4,43400,1,3100,60,21,11,500,176,50000,2,1,1.19,1.4,106.2,1.5,12,0.15,1927,10,2.483,1979,108,18.1,0.7,0.58,920,921,4.9,4,21,0.13,0.3,1260,1994,3666456,0.291,1.29,93.74,2.7,0.5
Peyton Manning,IND,7.21,95,29.9,5.0597,50,454.58,DAKOTA PICKUP 4WD,226,24.4,44,890,5,70,172,22,10.8,0.67,2207.5,5,1500,11.4,8,2.1,68,13.505,2.5,2.02,Chevrolet,Celebrity,30,"2,474.45",25.97,28.2,3810,31.5,30.4,16.3,90,92,212,151,3.3,28.06,15.13,15.28,-2,3.46,313,55.3,582,2.7,5,47700,0,3300,40,18,13,500,211,55000,2,0,1.35,1.5,131.9,2,9,0.2,1928,11,2.73,1980,88,17.2,0.6,0.7,940,945,4.2,4.5,22,0.15,0.31,1641,1995,3699943,0.291,1.46,96.73,10,2.236
Aaron Rodgers,GB,7.53,93.8,29.9,3.891,59,539.03,DURANGO 2WD,348,24.1,48,910,1,70,110,35.5,10.9,0.63,1708.3,19,1200,7.7,10,2.6,68,11.64,4,2.27,Chrysler,Conquest,24,"2,556.38",20.39,30.1,2330,24.5,24,10.5,94,95,175,146,3.96,33.39,15.82,15.99,-1,-3.87,523,92.5,1156,3.64,6,53000,0,3500,85,43,15,500,244,50000,5,1,1.5,1.6,146.9,2,8,0.21,1929,11,3.091,1981,91,18.2,0.5,0.57,936,930,4.8,5,24,0.18,0.31,1555,1996,3738974,0.509,1.36,94.45,9.7,2.386
Matt Schaub,HOU,8.01,92.7,30.9,5.898,68,621.55,GRAND CHEROKEE 2WD,226,28.5,46,915,4,80,113,43,11.8,0.47,1784.7,24,1300,3.6,12,2.9,75,11.168,5,2.15,Dodge,Aries,30,"2,212.25",23.29,52.1,1800,19.9,39.5,23.1,83,80,190,150,4.62,34.12,16.05,16.23,-1,3.87,333,149.4,997,4.73,7,41500,1,3700,90,54,17,500,277,35000,7,1,1.66,1.7,146.8,2.2,11,0.18,1930,12,3.674,1982,58,16,0.4,0.55,925,919,5.8,5.5,28,0.31,0.31,1427,1997,3790066,0.294,0.87,87.59,9.55,2.294
Tony Romo,DAL,7.66,91.4,28.9,5.6039,74,675.06,GRAND CHEROKEE 4WD,348,24.2,43,960,6,90,75,40.5,12.1,0.7,2575,2.5,,,14,3.7,75,12.534,5,2.26,Dodge,Dynasty,28,"2,966.06",17.27,33.3,3110,27.3,24.2,12.4,86,81,210,140,3.28,39.21,16.02,16.17,0,4,343,233.7,2189,9.5,8,40800,0,3900,50,33,19,500,310,65000,2,1,1.81,1.8,133.9,2.4,6,0.24,1931,16,4.62,1983,82,17.2,0.3,0.44,940,943,6.2,6,32,0.4,0.31,1427,1998,3839578,0.799,1.23,91.77,3.05,0.558
Jeff Garcia,TB,7.21,90.2,35.9,5.8282,62,562.03,LIBERTY/CHEROKEE 2WD,148,32.8,53,990,2,80,94,33,14.3,0.6,2357.9,7.5,,,16,3.5,75,11.224,7,2.47,Ford,Escort,31,"1,868.13",35.24,47,3160,27.1,52.5,24.9,71,76,200,148,5.94,44.21,15.29,15.44,0,-4,353,355.1,1097,5.34,9,45400,1,4100,80,60,21,500,343,53000,2,0,1.97,1.9,111,2.5,,,1932,18,5.497,1984,81,18,,,933,932,7,6.5,37,0.49,0.31,1126,1999,3885736,0.542,1.55,99.42,8.15,2.166
Matt Cassel,NE,7.16,89.4,31.5,5.3003,50,452.93,LIBERTY/CHEROKEE 4WD,226,28,52,1010,3,80,,,14.7,0.78,2277.7,11,,,18,3.7,,,8,2.19,Ford,Mustang,25,"4,948.89",,,2310,24,37.9,22.8,65,72,149,125,6.6,47.48,14.29,14.52,1,3.87,363,525.8,2078,6.85,10,52400,1,4300,65,51,23,500,372,48000,1,0,2.12,2,123,2.5,,,1933,19,6.26,1985,65,17.2,,,927,935,7.9,7,39,0.57,0.31,1126,2000,4012012,0.495,1.4,93.65,6.2,1.866
