Ex12-5Age,Ex12-5Severity,Ex12-5Surg-Med,Ex12-5Anxiety,Ex12-5Satis,Ex12-6y,Ex12-6x1,Ex12-6x2,Ex12-6x3,Ex12-6x4,Ex12-7 mfr,Ex12-7 carline,Ex12-7 car/truck,Ex12-7 cid,Ex12-7 rhp,Ex12-7 trns,Ex12-7 drv,Ex12-7 od,Ex12-7 etw,Ex12-7 cmp,Ex12-7 axle,Ex12-7 n/v,Ex12-7 a/c,Ex12-7 hc,Ex12-7 co,Ex12-7 co2,Ex12-7 mpg,Ex12-8y,Ex12-8x1,Ex12-8x2,Ex12-8x3,Ex12-8x4,Ex12-8x5,Ex12-8x6,Ex12-9x1,Ex12-9x2,Ex12-9x3,Ex12-9y,Ex12-10Temp,Ex12-10SoakTime,Ex12-10SoakPct,Ex12-10DiffTime,Ex12-10DiffPct,Ex12-10Pitch,Ex12-11 rads,Ex12-11 mAmps,Ex12-11 exposure time,Ex12-12 AGE,Ex12-12 SEX,Ex12-12 DRINKUSE,Ex12-12 COOKUSE,Ex12-12 ARSWATER,Ex12-12 ARSNAILS,Ex12-13 density,Ex12-13 dielectric constant,Ex12-13 loss factor,Ex12-14 x1 ,Ex12-14 x2,Ex12-14 y,Ex12-15 Brightness (%),Ex12-15 Contrast (%),Ex12-15 Useful range (ng),Ex12-16 Stack Loss(y),Ex12-16 x1,Ex12-16 x2,Ex12-16 x3,Ex12-17First,Ex12-17Last,Ex12-17 Team,Ex12-17 Att,Ex12-17 Comp,Ex12-17 Pct Comp,Ex12-17 Yds,Ex12-17 Yds per Att,Ex12-17 TD,Ex12-17 Pct TD,Ex12-17 Long,Ex12-17 Int,Ex12-17 Pct Int,Ex12-17 Rating Pts,Ex12-18 Team,Ex12-18 W,Ex12-18 L,Ex12-18 T,Ex12-18 OTL,Ex12-18 PTS,Ex12-18 GF,Ex12-18 GA,Ex12-18 ADV,Ex12-18 PPGF,Ex12-18 PCTG,Ex12-18 PEN,Ex12-18 BMI,Ex12-18 AVG,Ex12-18 SHT,Ex12-18 PPGA,Ex12-18 PKPCT,Ex12-18 SHGF,Ex12-18 SHGA,Ex12-18 FG,Ex12-19y,Ex12-19x1,Ex12-19x2,Ex12-72y,Ex12-72x,Ex12-73y,Ex12-73x,Ex12-74y,Ex12-74x,Ex12-75y,Ex12-75x1,Ex12-75x2,Ex12-75x3,Ex12-96 y,Ex12-96 x1,Ex12-96 x2,Ex12-96 x3,Ex12-96 x4,Ex12-96 x5,Ex12-96 x6,Ex12-97 y,Ex12-97 x1,Ex12-97 x2,Ex12-97 x3,Ex12-97 x4,Ex12-97 x5,Ex12-97 x6,Ex12-97 y*,Ex12-97 x3*,Ex12-98 x1,Ex12-98 x2,Ex12-98 x3,Ex12-98 x4,Ex12-98 x5,Ex12-98 y,Ex12-99 x1,Ex12-99 x2,Ex12-99 x3,Ex12-99 x4,Ex12-99 x5,Ex12-99 y,Ex12-99 y*,Ex12-99 x1*,Ex12-99 x2*,Ex12-99 x3*,Ex12-99 x4*,Ex12-100y,Ex12-100x,Ex12-104ALBatting Team,Ex12-104ALBatting W,Ex12-104ALBatting AVG,Ex12-104ALBatting R,Ex12-104ALBatting H,Ex12-104ALBatting 2B,Ex12-104ALBatting 3B,Ex12-104ALBatting HR,Ex12-104ALBatting RBI,Ex12-104ALBatting BB,Ex12-104ALBatting SO,Ex12-104ALBatting SB,Ex12-104ALBatting GIDP,Ex12-104ALBatting LOB,Ex12-104ALBatting OBP,Ex12-104NLBatting Team          , Ex12-104NLBatting W , Ex12-104NLBatting AVG,    Ex12-104NLBatting R, Ex12-104NLBatting   H, Ex12-104NLBatting 2B, Ex12-104NLBatting 3B, Ex12-104NLBatting  HR , Ex12-104NLBatting RBI , Ex12-104NLBatting BB , Ex12-104NLBatting  SO , Ex12-104NLBatting SB, Ex12-104NLBatting GIDP, Ex12-104NLBatting LOB, Ex12-104NLBatting OBP,Example12-1Strength,Example12-1Length,Example12-1Height,Example12-12y,Example12-12x,Example12-13y,Example12-13Speed,Example12-13Tool,Example12-14Clarity,Example12-14Aroma,Example12-14Body,Example12-14Flavor,Example12-14Oakiness,Example12-14Quality
55,50,0,2.1,68,240,25,24,91,100,20,300C/SRT-8,C,215,253,L5,4,2,4500,9.9,3.07,30.9,Y,0.011,0.09,288,30.8,8,5.2,19.6,29.6,94.9,2.1,2.3,14.62,226,7,128.4,1650,0.58,1.1,0.25,0.9,0.013,7.4,10,0.25,44,2,5,5,0.00087,0.119,0.749,2.05,0.016,13,11,62.8739,54,56,96,42,80,27,89,Philip,Rivers,SD,478,312,65.3,4009,8.39,34,7.1,67,11,2.3,105.5,Anaheim,29,35,10,8,76,184,213,310,56,18.1,1131,14,13.8,353,54,84.7,5,4,38,293,1.6,851,770,280,-1.42,0.25,24.6,4,0.222,7.3,0,0,4540,2140,20640,30250,205,1732,99,4540,2140,20640,30250,205,1732,99,8.420682291,10.3172514635,3,3,3,3,0,0.787,3,3,3,3,0,0.787,-0.2395270306,0.5773502692,0.5773502692,0.5773502692,1.7320508076,16,1700,Chicago,99,0.262,741,1450,253,23,200,713,435,1002,137,122,1032,0.322,St. Louis     ,100,0.27,805,1494,287,26,170,757,534,947,83,127,1152,0.339,9.95,2,50,1.81,20,45.44,225,0,1,3.3,2.8,3.1,4.1,9.8
46,24,1,2.8,77,236,31,21,90,95,20,CARAVAN 2WD,T,201,180,L4,F,2,4500,9.3,2.49,32.3,Y,0.014,0.11,274,32.5,8.3,5.2,19.8,32.4,89.7,2.1,1.8,15.63,220,3.375,52.62,1650,0.66,1.1,0.33,0.9,0.016,14.8,10,0.5,45,2,4,5,0.00021,0.118,0.798,2.15,0.02,15,11,76.1328,61,80,50,37,80,27,88,Chad,Pennington,MIA,476,321,67.4,3653,7.67,19,4,80,7,1.5,97.4,Atlanta,33,37,8,4,78,214,243,409,60,14.7,1505,32,18.4,391,58,85.2,11,7,31,230,15.5,816,800,284,-1.39,0.5,24.71,4,0.395,8.7,0,0.3,4315,2016,20280,30010,195,1697,100,4315,2016,20280,30010,195,1697,100,8.3698526035,10.3092859384,8,30,8,8,0,0.293,8,30,8,8,0,0.293,-1.22758267,0.3535533906,0.1825741858,0.3535533906,2.8284271247,15.8,1720,Boston,95,0.281,910,1579,339,21,199,863,653,1044,45,135,1249,0.357,Atlanta       ,90,0.265,769,1453,308,37,184,733,534,1084,92,146,1114,0.333,24.45,8,110,1.7,25,42.03,200,0,1,4.4,4.9,3.5,3.9,12.6
30,46,1,3.3,96,270,45,24,88,110,20,CROSSFIRE ROADSTER,C,196,168,L5,R,2,3375,10,3.27,37.1,Y,0.001,0.02,250,35.4,8.5,5.8,19.6,31,96.2,2,2,14.62,217.4,6.375,113.9,1650,0.66,1.1,0.33,0.9,0.015,29.6,10,1,44,1,5,5,0,0.099,0.849,2.25,0.022,13,13,87.4667,65,70,50,37,75,25,90,Kurt,Warner,ARI,598,401,67.1,4583,7.66,30,5,79,14,2.3,96.9,Boston,41,19,15,7,104,209,188,300,48,16,1208,22,14.7,335,55,83.6,7,13,34,172,22,1058,840,292,-1.55,0.75,23.9,4,0.422,8.8,0.7,1,4095,1905,19860,29780,184,1662,97,4095,1905,19860,29780,184,1662,97,8.3175219963,10.3015923062,3,6,6,6,0,1.71,3,6,6,6,0,1.71,0.5364933705,0.5773502692,0.4082482905,0.4082482905,2.4494897428,15.6,1730,LA Angels,95,0.27,761,1520,278,30,147,726,447,848,161,125,1086,0.325,Houston       ,89,0.256,693,1400,281,32,161,654,481,1037,115,116,1136,0.322,31.75,11,120,1.65,30,50.1,250,0,1,3.9,5.3,4.8,4.7,11.9
35,48,1,4.5,80,274,60,25,87,88,20,DAKOTA PICKUP 2WD,T,226,210,L4,R,2,4500,9.2,3.55,29.6,Y,0.012,0.04,316,28.1,8.8,6.4,19.4,32.4,95.6,2.2,2.1,15,220,6,98.01,1650,0.66,1.1,0.33,0.95,0.016,59.2,10,2,66,2,3,5,0.00115,0.118,0.877,2.3,0.023,15,13,102.3236,100,50,112,28,62,24,87,Drew,Brees,NO,635,413,65,5069,7.98,34,5.4,84,17,2.7,96.2,Buffalo,37,34,7,4,85,220,221,367,58,15.8,1289,28,15.7,348,53,84.8,7,9,46,91,43,1201,810,295,-1.89,1,39.5,5,0.437,8.1,4,0.2,3650,1675,18980,29330,164,1598,97,3650,1675,18980,29330,164,1598,97,8.2024824466,10.286366162,4,4,4,12,0,0.203,4,4,4,12,0,0.203,-1.5945492999,0.5,0.5,0.5,3.4641016151,15.5,1740,New York,95,0.276,886,1552,259,16,229,847,637,989,84,125,1264,0.355,Philadelphia  ,88,0.27,807,1494,282,35,167,760,639,1083,116,107,1251,0.348,35,10,550,1.55,35,48.75,245,0,1,3.9,2.6,3.1,3.6,11.1
59,58,0,2,43,301,65,25,91,94,20,DAKOTA PICKUP 4WD,T,226,210,L4,4,2,5000,9.2,3.55,29.6,Y,0.011,0.05,365,24.4,9,5.8,18.6,28.6,86.5,2,1.8,14.5,226.5,7.625,139.9,1600,0.66,1.15,0.33,1,0.015,88.8,10,3,37,1,2,5,0,0.277,0.929,2.4,0.026,14,12,76.1872,100,65,96,18,62,22,87,Peyton,Manning,IND,555,371,66.8,4002,7.21,27,4.9,75,12,2.2,95,Calgary,42,30,7,3,94,200,176,357,54,15.1,1428,42,17.4,346,53,84.7,11,2,41,113,33,1357,735,298,-2.43,1.25,39.6,5,0.428,9,0.5,1,3200,1474,18100,28960,144,1541,97,3200,1474,18100,28960,144,1541,97,8.0709060888,10.2736708465,8,7,6,5,0,0.806,8,7,6,5,0,0.806,-0.2156715365,0.3535533906,0.377964473,0.4082482905,2.2360679775,14.8,1750,Cleveland,93,0.271,790,1522,337,30,207,760,503,1093,62,128,1148,0.334,Florida       ,83,0.272,717,1499,306,32,128,678,512,918,96,144,1181,0.339,25.02,8,295,1.48,40,47.92,235,0,1,5.6,5.1,5.5,5.1,13.3
61,60,0,5.1,44,316,72,26,94,99,20,DURANGO 2WD,T,348,345,L5,R,2,5250,8.6,3.55,27.2,Y,0.023,0.15,367,24.1,9.3,5.2,18.8,30.6,84.5,2.1,2.1,15.25,224.1,6,102.6,1600,0.66,1.15,0.33,1,0.016,296,10,10,45,2,5,5,0,0.358,0.963,2.47,0.028,14,12,77.5287,100,80,80,18,62,23,87,Aaron,Rodgers,GB,536,341,63.6,4038,7.53,28,5.2,71,13,2.4,93.8,Carolina,28,34,14,6,76,172,209,384,41,10.7,1102,16,13.4,359,66,81.6,9,9,30,125,40,1115,640,305,-3.15,1.5,57.12,6,0.467,8.7,1.5,2.8,4833,2239,20740,30083,215,1709,87,4833,2239,20740,30083,215,1709,87,8.4832226718,10.3117155071,10,20,5,5,0,4.713,10,20,5,5,0,4.713,1.5503246479,0.316227766,0.2236067977,0.4472135955,2.2360679775,14,1760,Oakland,88,0.262,772,1476,310,20,155,739,537,819,31,148,1170,0.33,New York      ,83,0.258,722,1421,279,32,175,683,486,1075,153,103,1122,0.322,16.86,4,200,1.4,50,47.79,237,0,1,4.6,4.7,5,4.1,12.8
74,65,1,5.5,26,300,80,25,87,97,20,GRAND CHEROKEE 2WD,T,226,210,L4,R,2,4500,9.2,3.07,30.4,Y,0.006,0.09,312,28.5,9.3,5.6,20.4,32.4,88.8,2.2,1.9,16.12,220.5,3.375,48.14,1650,1,1.1,0.5,0.8,0.014,444,10,15,47,1,5,5,0.00013,0.08,0.997,2.54,0.031,14,12,76.7824,50,25,155,19,62,24,93,Matt,Schaub,HOU,380,251,66.1,3043,8.01,15,3.9,65,10,2.6,92.7,Chicago,20,43,11,8,59,188,259,349,55,15.8,1318,18,16.1,381,63,83.5,5,14,33,,,,590,308,-4.05,1.75,67.11,6.5,0.444,9.3,2.1,1,4617,2120,20305,29831,206,1669,87,4617,2120,20305,29831,206,1669,87,8.4375004225,10.3033034002,8,6,3,3,25,0.607,8,6,3,3,25,0.607,-0.4992264879,0.3535533906,0.4082482905,0.5773502692,1.7320508076,13.5,1770,Minnesota,83,0.259,688,1441,269,32,134,644,485,978,102,155,1109,0.323,San Diego     ,82,0.257,684,1416,269,39,130,655,600,977,99,122,1220,0.333,14.38,2,375,1.3,60,52.26,265,0,1,4.8,4.8,4.8,3.3,12.8
38,42,1,3.2,88,296,84,25,86,96,20,GRAND CHEROKEE 4WD,T,348,230,L5,4,2,5000,9,3.07,24.7,Y,0.008,0.11,369,24.2,9.5,6,19,32.6,85.7,2.1,1.9,15.13,223.5,6.125,109.6,1650,1.17,1.1,0.58,0.8,0.021,592,10,20,38,2,4,5,0.00069,0.158,1.046,2.64,0.034,14,12,77.4381,57,35,144,20,62,24,93,Tony,Romo,DAL,450,276,61.3,3448,7.66,26,5.8,75,14,3.1,91.4,Colorado,40,22,13,7,100,236,198,363,74,20.4,1293,28,15.8,357,58,83.8,7,14,47,,,,560,315,-5.15,2,67.24,6.5,0.378,7.6,5.1,3.4,4340,1990,19961,29604,195,1640,87,4340,1990,19961,29604,195,1640,87,8.3756296271,10.2956647663,6,24,4,4,25,9.107,6,24,4,4,25,9.107,2.2090433486,0.4082482905,0.2041241452,0.5,2,13,1780,Toronto,80,0.265,775,1480,307,39,136,735,486,955,72,126,1118,0.331,Milwaukee     ,81,0.259,726,1413,327,19,175,689,531,1162,79,137,1120,0.331,9.6,2,52,1.26,65,50.52,259,0,1,5.3,4.5,4.3,5.2,12
27,42,0,3.1,75,267,75,24,88,110,20,LIBERTY/CHEROKEE 2WD,T,148,150,M6,R,2,4000,9.5,4.1,41,Y,0.004,0.41,270,32.8,9.8,5.2,20.8,32.2,93.6,2.3,2.1,15.5,217.6,5,82.68,1650,1.17,1.1,0.58,0.8,0.018,11.1,15,0.25,41,2,3,2,0.00039,0.31,1.133,2.85,0.039,14,12,78.7417,54,26,255,15,58,23,87,Jeff,Garcia,TB,376,244,64.9,2712,7.21,12,3.2,71,6,1.6,90.2,Columbus,25,45,8,4,62,177,238,401,58,14.5,1209,22,14.7,337,50,85.2,5,14,37,,,,,,-6.43,2.25,67.15,6.75,0.494,10,0,0.3,3820,1702,18916,29088,171,1572,85,3820,1702,18916,29088,171,1572,85,8.2480057016,10.278080997,4,10,12,4,25,9.21,4,10,12,4,25,9.21,2.2202898503,0.5,0.316227766,0.2886751346,2,12,1790,Texas,79,0.267,865,1528,311,29,260,834,495,1112,67,123,1104,0.329,Washington    ,81,0.252,639,1367,311,32,117,615,491,1090,45,130,1137,0.322,24.35,9,100,1.24,70,45.58,221,0,1,4.3,4.3,3.9,2.9,13.6
51,50,1,2.4,57,276,60,25,91,105,20,LIBERTY/CHEROKEE 4WD,T,226,210,L4,4,2,4250,9.2,3.73,31.2,Y,0.003,0.04,317,28,10,5.8,19.9,31.8,86,2.1,1.8,15.13,228.5,6.625,112.6,1650,1.17,1.1,0.58,0.8,0.019,22.2,15,0.5,49,2,4,5,0,0.105,1.17,2.94,0.042,,,,,,,14,58,18,80,Matt,Cassel,NE,516,327,63.4,3693,7.16,21,4.1,76,11,2.1,89.4,Dallas,41,26,13,2,97,194,175,328,52,15.9,1143,20,13.9,311,44,85.9,5,11,41,,,,,,-7.89,2.5,77.87,7,0.456,8.4,3.7,4.1,3368,1487,18012,28675,149,1522,85,3368,1487,18012,28675,149,1522,85,8.1220743754,10.263780942,16,12,8,4,25,1.365,16,12,8,4,25,1.365,0.3111544286,0.25,0.2886751346,0.3535533906,2,11,1795,Baltimore,74,0.269,729,1492,296,27,189,700,447,902,83,145,1103,0.327,Chicago       ,79,0.27,703,1506,323,23,194,674,419,920,65,131,1133,0.324,27.5,8,300,1.21,75,44.78,218,0,1,4.3,3.9,4.7,3.9,13.9
