Ex13-2Chocolate,13-2Capacity,Ex13-3Percentage,Ex13-3Strength,Ex13-4Flow,Ex13-4Uniformity ,Ex13-5MixingTechnique,Ex13-5Strength,Ex13-6CircuitType,Ex13-6Time,Ex13-7CoatingType,Ex13-7Conductivity,Ex13-8Diameter,Ex13-8Percent,Ex13-9RoddingLevel,Ex13-9Strength,Ex13-10PreparationMethod,Ex13-10Temperature,Ex13-11AirVoid,Ex13-11Strength,Ex13-12CrosslinkerLevel,Ex13-12DomainSpacing,Ex13-13DietType,Ex13-13ProteinContent,Ex13-14AOSoltuion ,Ex13-14AverageSpoilage,Ex13-15Temperature,Ex13-15Density,Ex13-28WaterPosition,Ex13-28Uniformity,Ex13-29Loom,Ex13-29Output,Ex13-30Batch,Ex13-30Yield,Ex13-31Chemical,Ex13-31Brightness,Ex13-36Min,Ex13-36Time,Ex13-36Glucose,Ex13-37NozzleType,Ex13-37Velocity,Ex13-37Shape,Ex13-38TipType,Ex13-38Specimen,Ex13-38Hardness,Ex13-39Test,Ex13-39Subject,Ex13-39Arsenic,Ex13-40StroageTime,Ex13-40Lot,Ex13-40Propectin,Ex13-41ChannelLength,Ex13-41Width,Ex13-41Leakage,Ex13-44CarbonType,Ex13-44SurfaceRoughness,Ex13-45Alloy,Ex13-45Resistance,Ex13-46Method,Ex13-46Score,Ex13-47Temperature,Ex13-47Volume,Ex13-48MeanWeight,Ex13-48Temperature,Ex13-48WeightGain,Ex13-49Algorithm,Ex13-49Project,Ex13-49PCTERROR,Ex13-50Treatment,Ex13-50Mean,Example13-1Concentration,Example13-1Strength,Example13-4Loom,Example13-4Strength,Example13-5Chemical,Example13-5Strength
DC,118.8,15,7,125,2.7,1,3129,1,19,1,143,0.37,80,10,1530,1,14.8,Low,106,-1,8.2,Barley,3.63,50,100,100,21.8,1,2.76,1,4,1,1545,1,77.199,10,pm,71.5,1,11.73,0.78,1,1,9.3,Trainee,1,0.05,0 days,1,1694,1,1,0.7,EC10,0.5,1,95,1,24.4,70,1245,100,50,1.37,1,1,1244,MP ONLY,334.5,5,7,1,98,1,1.3
DC,122.6,15,7,125,4.6,1,3000,1,22,1,141,0.37,83,10,1530,1,14.8,Low,90,-1,8,Barley,3.24,50,50,100,21.9,1,5.67,1,4.1,1,1440,1,74.466,10,am,103,2,11.73,0.85,2,1,9.4,Trainer,1,0.05,7 days,1,1802,2,1,0.8,EC10,0.55,1,97,1,23.2,70,1235,150,50,1.47,2,1,281,MP ONLY,31.6,5,8,1,97,1,1.6
DC,115.6,15,15,125,2.6,1,2865,1,20,1,150,0.37,83,10,1440,1,14.7,Low,103,-1,8.2,Barley,3.98,50,60,100,21.7,1,4.49,1,4.2,1,1440,1,92.746,20,am,83.5,3,11.73,0.93,3,1,9.2,Lab,1,0.04,14 days,1,1568,3,1,0.9,EC10,0.55,1,99,1,25,70,1285,200,50,1.19,3,1,220,MP ONLY,701,5,15,1,99,1,0.5
DC,113.6,15,11,125,3,1,2890,1,18,1,146,0.37,85,15,1610,1,14.8,Low,90,-1,7.9,Barley,3.66,100,60,100,21.6,2,1.43,1,4,1,1520,1,76.208,20,pm ,126,4,11.73,1.14,4,1,9.7,Trainee,2,0.05,21 days,1,415.5,4,1,1,EC10,0.36,1,98,1,19.7,70,1245,100,60,1.58,4,1,225,MP ONLY,41.2,5,11,1,96,1,1.2
DC,119.5,15,9,125,3.2,2,3200,1,25,2,152,0.51,75,15,1650,1,14.9,Low,79,-1,8.1,Barley,4.34,100,30,100,21.7,2,1.7,1,4.1,1,1580,1,82.876,10,am,125.5,5,11.73,0.97,1,2,9.4,Trainer,2,0.05,0 days,2,989,1,2,0.8,EC10A,0.31,1,99,1,22.2,70,1235,150,60,1.75,5,1,19,MP ONLY,61.2,5,9,2,91,1,1.1
DC,115.9,20,12,125,3.8,2,3300,2,20,2,149,0.51,75,15,1500,2,14.6,Low,88,-1,8,Barley,4.36,100,30,100,21.5,2,2.19,2,3.9,2,1540,2,80.522,10,pm,129.5,1,14.37,0.8,2,2,9.3,Lab,2,0.04,7 days,2,1074,2,2,0.8,EC10A,0.07,1,99,1,24.4,75,1235,200,60,1.91,6,1,-20,MP ONLY,69.6,5,10,2,90,2,2.2
DC,115.8,20,17,160,4.9,2,2975,2,21,2,137,0.51,79,20,1560,2,15,Low,92,-0.75,8.3,Barley,4.17,200,60,100,21.8,3,2.34,2,3.8,2,1555,2,79.306,20,pm,95,2,14.37,0.85,3,2,9.4,Trainee,3,0.04,14 days,2,646.2,3,2,1,EC10A,0.25,1,99,1,23.8,75,1240,100,70,2,1,2,21,MP ONLY,67.5,10,12,2,93,2,2.4
DC,115.1,20,12,160,4.6,2,3150,2,33,2,143,0.51,79,20,1730,2,14.9,Low,95,-0.75,8.4,Barley,4.4,200,50,125,21.7,3,1.97,2,3.9,2,1490,2,81.914,20,am,93,3,14.37,0.92,4,2,9.6,Trainer,3,0.04,21 days,2,845.4,4,2,1.5,EC10A,0.18,1,94,1,18,75,1200,150,70,2.16,2,2,129,MP ONLY,66.6,10,17,2,92,2,0.4
DC,116.9,20,18,160,5,3,2800,2,27,3,134,0.71,74,20,1530,2,14.8,Medium,80,-0.75,8.3,Barley,3.4,200,29,125,21.4,3,1.47,2,4,2,1560,2,80.346,,,,4,14.37,0.97,1,3,9.6,Lab,3,0.03,0 days,3,917.3,1,3,0.8,EC10A,0.56,1,95,2,22.1,75,1220,200,70,2.22,3,2,84,MP ONLY,120.7,10,13,3,96,2,2
DC,115.4,20,18,160,4.2,3,2900,2,40,3,133,0.71,73,25,1500,2,14.7,Medium,69,-0.75,8.2,Barley,3.75,400,25,125,21.5,4,0.94,2,4,2,1495,2,73.385,,,,5,14.37,0.86,2,3,9.8,Trainee,4,0.15,7 days,3,278.8,2,3,0.9,EC10A,0.2,1,98,2,19.5,75,1210,100,80,1.97,4,2,83,MP ONLY,881.9,10,18,3,95,2,1.8
