Ex14-1Glas,Ex14-1Phosphor,Ex14-1Brightness,Ex14-2Paint,Ex14-2Time,Ex14-2Finish,Ex14-3Mat,Ex14-3Temp,Ex14-3Life,Ex14-4Pos,Ex14-4Temp,Ex14-4Density,Ex14-5 Insulation,Ex14-5 Temperature,Ex14-5 y,Ex14-6Temp,Ex14-6Copper,Ex14-6Warp,Ex14-7Doping,Ex14-7Anneal,Ex14-7Current,Ex14-8Freq,Ex14-8Env,Ex14-8Cracking,Ex14-10Cycle,Ex14-10Temp,Ex14-10Oper,Ex14-10Score,Ex14-11Conc,Ex14-11Time,Ex14-11Free,Ex14-11Strength,Ex14-12 Treatment,Ex14-12 Rep I,Ex14-12 Rep II,Ex14-13 Treatment,Ex14-13 Rep I,Ex14-13 Rep II,Ex14-14Treatment,Ex14-14Strength,Ex14-15Method,Ex14-15Position,Ex14-15Charge,Ex14-16 Food Supply,Ex14-16 Predation,Ex14-16 Regulation,Ex14-17Treatment,Ex14-17,Ex14-18Treatment,Ex14-18,Ex14-20 A,Ex14-20 B,Ex14-20 C,Ex14-20 D,Ex14-20 Yield,Ex14-21,Ex14-21,Ex14-22 A,Ex14-22 B,Ex14-22  C,Ex14-22  D,Ex14-22 y,Ex14-22  sqrt(y),Ex14-23 A,Ex14-23 B,Ex14-23 Response,Ex14-24 A,Ex14-24 B,Ex14-24 C,Ex14-24 D,Ex14-24 E,Ex14-24 Strength,Ex14-25 A,Ex14-25 B,Ex14-25 C,Ex14-25 D,Ex14-25 E,Ex14-25 Yield,Ex14-26 ST,Ex14-26 pH,Ex14-26 RC,Ex14-26 R1,Ex14-26 R2,Ex14-27 A,Ex14-27 B,Ex14-27 C,Ex14-27 D,Ex14-27 E,Ex14-27 Strength,Ex14-29 configuration,Ex14-29 A,Ex14-29 B,Ex14-29 C,Ex14-29 D,Ex14-29 Y,Ex14-34 A,Ex14-34 B,Ex14-34 C,Ex14-34 D,Ex14-34 Score,Ex14-37 Juice,Ex14-37 Exercise,Ex14-37 Delay,Ex14-37 Time,Ex14-37 Glucose,Ex14-38A,Ex14-38B,Ex14-38C,Ex14-38  Value,Ex14-38 Block,EX14-40 Dispatching time,EX14-40 Rework Delay,EX14-40 Rework Level,EX14-40 Temp,EX14-40 Average time,Ex14-43 A,Ex14-43 B,Ex14-43 C,Ex14-43 D,Ex14-43 E,Ex14-43 y,Ex14-44 A,Ex14-44 B,Ex14-44 C,Ex14-44 D=ABC,Ex14-44 treatment,Ex14-44 Rate,Ex14-45,Ex14-45,Ex14-46 A1,Ex14-46 X2,Ex14-46 X3,Ex14-46 X4,Ex14-46 X5,Ex14-46 Heat I,Ex14-46 Heat II,Ex14-47,Ex14-47,"Ex14-51 Glassware, x1","Ex14-51 Reagent, x2","Ex14-51 Sample Prep, x3","Ex14-51 Tracer, x4","Ex14-51 Dissolution, x5","Ex14-51 Hood, x6","Ex14-51 Chemistry, x7","Ex14-51 Ashing, x8","Ex14-51 Response mBq, y",Ex14-52 A,Ex14-52 B,Ex14-52 C,Ex14-52 D,Ex14-52 E,Ex14-52 F,Ex14-52 G,Ex14-52 Sales,Ex15-53 x1,Ex15-53 x2,Ex15-53 y,Ex14-54 X1,Ex14-54 X2,Ex14-54 X3,Ex14-54 MLS,Ex14-57 X1,Ex14-57 X2,Ex14-57 y,Ex14-58 x1,Ex14-58 x2,Ex14-58 x3,Ex14-58 y1,Ex14-58 y2,Ex14-60 Trial,Ex14-60 Speed,Ex14-60 Feed,Ex14-60 Depth,Ex14-60 x1,Ex14-60 x2,Ex14-60 x3,Ex14-60 Roughness,Ex14-61pH,Ex14-61Conc,Ex14-61Viscosity,Ex14-62Gear,Ex14-62Time,Ex14-62Distortion,Ex14-63Level,Ex14-63Salt,Ex14-63Flam,Ex14-64Bump,Ex14-64Method,Ex14-64Accuracy,Ex14-65Treatment ,Ex14-65 ,Ex14-66Treatment ,Ex14-66 ,Ex14-67 V,Ex14-67 F,Ex14-67 P,Ex14-67 G,Ex14-67 Roughness,Ex14-72 A,Ex14-72 B,Ex14-72 C,Ex14-72 D,Ex14-72 E,Ex14-72Replicate1 ,Ex14-72Replicate2 ,Ex14-72Replicate3 ,Ex14-73 x1,Ex14-73 x2,Ex14-73 y,Ex14-74 Solvent,Ex14-74 Time,Ex14-74 Protein Extract,Ex14-75 Nitrogen,Ex14-75 Potassium,Ex14-75 Severity,Ex14-76a X1,Ex14-76a X2,Ex14-76a Y,Ex14-76b x1,Ex14-76b x2,Ex14-76b X1,Ex14-76b X2,Ex14-76b y,Ex14-77 A,Ex14-77 B,Ex14-77 C,Ex14-77 D,Ex14-77 E,Ex14-77 F,Ex14-77 G,Ex14-77 Current Density,Ex14-78 A,Ex14-78 B,Ex14-78 C,Ex14-78 D,Ex14-78 E,Ex14-78 F,Ex14-78 G,Ex14-78 Weight Content,Ex14-78 Cullular Content,Ex14-79 Treatment ,Ex14-79 Time ,Ex14-82 A,Ex14-82 B,Ex14-82 C,Ex14-82 D,Ex14-82 E, Ex14-82 F,Ex14-82 G,Ex14-82 Yield,Example14-1Primer,Example14-1Method,Example14-1Adhesion,Example14-2Feed,Example14-2Depth,Example14-2Angle,Example14-2Roughness,Example14-5Gap,Example14-5Pressure,Example14-5C2F6,Example14-5Power,Example14-5Etch,Example14-6Time,Example14-6Temperature,Example14-6Yield,Example14-7Block,Example14-7A,Example14-7B,Example14-7C,Example14-7D,Example14-7E,Example14-7Distance,Example14-8A,Example14-8B,Example14-8C,Example14-8D,Example14-8E,Example14-8F,Example14-9Shrinkage,Example14-12Time,Example14-12Temperature,Example14-12x1,Example14-12x2,Example14-12Conversion,Example14-12Viscosity
1,1,280,1,20,74,1,low,130,1,800,570,1,1,6.6,50,40,17,1,900/60,4.4,10,Air,2.29,40,300,1,23,10,1.5,350,96.6,(1),221,311,(1),159,163,(1),700,SD,L,1.66,1,-1,88.589,(1),7,(1),42,-1,-1,-1,-1,12,A,80.25,1,1,-1,1,12,3.4641,-1,1,154,-1,1,-1,-1,1,3500,-1,1,-1,-1,-1,34,-1,-1,-1,39.8,42.1,-1,-1,-1,-1,-1,680.45,1,1,1,1,1,0.12,1,1,1,-1,179,4,10,0,pm,71.5,-1,-1,-1,99,1,5,0,0,60,218,-1,-1,-1,-1,-1,1.13,-1,-1,-1,-1,(1),45,e,-0.63,-1,-1,-1,-1,1,8.46,9.61,e,23.2,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,1,1,-1,8.7,-1,0,83.8,1,1,-1,6.3261,-1,-1,211,-1,-1,-1,24,12.49,1,36,0.15,0.5,-1,-1,-1,1.8,5.6,2.5,192,20,90,0.0265,1,Untreated,812,75,1,4.6,(1),-2.3,(1),63.8,6,2,38,80,104,-1,-1,-1,-1,-1,7.78,7.78,7.81,-1,-1,13.71,3,30,30.5,50,30,61,13,11,62.874,-1,-1,15,14,102.015,-1,-1,-1,-1,-1,-1,-1,160,-1,-1,-1,1,1,1,-1,4.2,10.8,-,27,-1,-1,-1,-1,-1,-1,-1,99,1,Dip,4,20,0.025,15,9,-1,-1,-1,-1,550,-1,-1,39.3,1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,6,50,160,-1,-1,65.3,35
1,1,290,1,20,64,1,low,155,1,800,565,1,1,2.7,50,40,20,1,900/60,4.6,10,Air,2.47,40,300,1,24,10,1.5,350,96,a,325,435,a,168,175,a,900,SD,L,1.9,1,-1,114.059,a,9,a,31,1,-1,-1,-1,18,B,-65.5,1,-1,-1,1,0,0,0,0,92,1,-1,1,1,-1,1100,0,0,0,0,0,47,1,-1,-1,51.3,48,1,-1,-1,-1,-1,722.48,2,1,1,1,-1,0.1193,1,-1,-1,1,187,8,10,0,am,103,1,1,-1,52,1,10,0,0,80,256.5,1,-1,-1,-1,1,1.25,1,-1,-1,1,ad,100,a,2.51,1,-1,-1,-1,-1,15.68,14.68,ab,15.5,1,-1,-1,-1,-1,1,1,1,3.31,1,-1,-1,-1,-1,1,1,15.1,1,0,81.7,1,1,1,6.2444,1,-1,92,0,-1,-1,120.33,8.39,2,117,0.15,0.5,1,-1,-1,1.233,5.6,2.5,199,20,90,0.034,1,Untreated,827,75,1,4.53,a,-9.87,a,77.6,2,2,38,80,98,1,-1,-1,1,-1,8.15,8.18,7.88,1,-1,14.15,3,30,36.9,50,30,61.3,15,11,76.133,1,-1,16,14,106.868,1,-1,-1,-1,1,1,1,20,1,-1,-1,-1,-1,1,1,4.4,24.9,a,34,1,-1,-1,-1,1,-1,1,97.4,1,Dip,4.5,20,0.025,15,7,1,-1,-1,-1,669,1,-1,40.9,1,1,1,-1,-1,-1,7,1,-1,-1,-1,1,-1,10,60,160,1,-1,68.2,39
1,1,285,1,20,50,1,low,74,1,800,583,1,1,6,50,60,16,1,900/180,8.3,10,Air,2.48,40,300,1,25,10,1.5,500,97.7,b,354,348,b,158,163,b,3400,SD,L,1.92,1,-1,200.979,b,34,b,45,-1,1,-1,-1,13,C,-9.25,-1,-1,-1,1,1,1,0,0,130,1,1,-1,-1,1,6200,0,0,0,0,0,45,-1,1,-1,57.9,58.1,-1,1,-1,-1,-1,702.14,3,1,1,-1,1,0.1196,-1,1,-1,1,163,4,20,0,am,83.5,1,-1,1,42,1,5,0,1,80,231,-1,1,-1,-1,1,0.97,-1,1,-1,1,bd,45,b,-2.68,-1,1,-1,-1,-1,14.94,13.09,ad,16.9,-1,1,-1,-1,1,-1,1,1,0.0373,-1,1,-1,-1,1,-1,1,9.7,0,0,82.4,0,0,0,6.5909,-1,1,216,1,-1,-1,213.67,42.83,3,36,0.4,0.5,-1,1,-1,5.3,5.6,2.5,189,20,120,0.056,1,Untreated,876,75,2,1.55,b,-18.2,b,68.8,6,2,30,80,103,-1,1,-1,1,-1,7.5,7.56,7.5,-1,1,12.87,3,60,45.7,50,90,45.5,13,13,87.467,-1,1,15,16,108.13,-1,1,-1,-1,1,1,-1,80,-1,1,-1,-1,1,-1,1,7.8,27.3,b,38,-1,1,-1,-1,1,1,1,97.7,1,Dip,4.3,30,0.025,15,10,-1,1,-1,-1,604,-1,1,40,1,1,-1,1,-1,-1,6,-1,1,-1,-1,1,1,32,50,170,-1,1,66,36
1,2,300,1,25,73,1,low,180,1,825,1063,1,1,4,50,60,21,1,900/180,8.9,10,Air,2.12,40,300,2,27,10,1.5,500,96,ab,552,472,ab,166,168,ab,5500,SD,R,1.84,1,-1,134.639,ab,55,ab,29,1,1,-1,-1,16,D,-20.5,-1,-1,-1,-1,56,7.48331,1,1,352,1,1,1,1,-1,6000,1,-1,-1,-1,1,12,1,1,-1,78.9,85.9,1,1,-1,-1,-1,666.93,4,1,1,-1,-1,0.1192,-1,-1,1,-1,175,8,20,0,pm ,126,-1,1,1,95,1,10,0,1,60,302.5,1,1,-1,-1,-1,1.7,1,1,-1,-1,ab,65,abe,1.66,1,1,-1,-1,1,12.52,12.71,bc,16.2,1,1,-1,-1,1,1,-1,-1,0,1,1,-1,1,-1,-1,-1,11.3,0,0,82.9,0,-1,0,6.3409,1,1,99,-1,0,-1,86,3.46,4,117,0.4,0.5,1,1,-1,5.067,5.6,2.5,198,20,120,0.065,1,MgCl2,752,75,2,1.45,ab,-30.2,ab,76.5,2,2,30,80,96,1,1,-1,-1,-1,7.59,7.56,7.75,1,1,13.53,3,60,44.3,50,90,42.5,15,13,102.324,1,1,16,16,110.176,1,1,-1,-1,-1,-1,1,317,1,1,-1,1,-1,-1,-1,14.9,36.3,ab,59,1,1,-1,-1,-1,1,-1,90,1,Spray,5.4,30,0.025,15,12,1,1,-1,-1,650,1,1,41.5,1,-1,1,1,-1,-1,8,1,1,-1,-1,-1,1,60,60,170,1,1,69.8,43
1,2,310,1,25,61,1,med,34,1,825,1080,1,1,6.2,50,80,24,1,950/60,10.15,10,H20,2.06,40,300,2,28,10,1.5,650,99.4,c,440,453,c,175,178,c,600,SD,R,1.84,1,1,56.949,c,16,c,39,-1,-1,1,-1,17,AB,53.25,1,-1,1,-1,4,2,0,0,98,1,-1,-1,-1,1,1200,-1,-1,1,1,1,15,-1,-1,1,78.9,84.2,-1,-1,1,-1,-1,703.67,5,1,-1,1,1,0.1186,-1,1,1,1,170,4,10,20,am,125.5,1,-1,-1,18,2,5,15,0,80,298.5,-1,-1,1,-1,1,1.47,-1,-1,1,1,cd,75,c,2.06,-1,-1,1,-1,-1,17,16.36,cd,23.8,-1,-1,1,-1,1,1,1,-1,0.0649,-1,-1,1,1,-1,-1,1,14.7,0,-1,84.7,1,-1,1,5.907,-1.5,0,222,0,0,-1,136.63,80.41,5,36,0.15,1.125,-1,-1,1,2.133,5.6,2.7,178,24,90,0.043,1,MgCl2,728,75,3,1.05,c,-23.8,c,72.5,6,1,38,80,137,-1,-1,1,1,-1,7.54,8,7.88,-1,-1,13.9,3,90,30.5,50,120,59.5,14,12,76.187,-1.414,0,14.793,13.586,105.236,-1,-1,1,-1,1,-1,1,19,-1,-1,1,1,-1,-1,1,25.3,112.6,c,44,-1,-1,1,-1,1,1,-1,100,1,Spray,4.9,20,0.04,15,9,-1,-1,1,-1,633,0,0,40.3,1,1,-1,-1,1,-1,10,-1,-1,1,-1,1,1,4,48,165,-1.414,0,64.5,30
1,2,295,1,25,44,1,med,40,1,825,1043,1,1,5,50,80,22,1,950/60,10.2,10,H20,2.05,40,300,2,26,10,1.5,650,99.8,ac,406,377,ac,179,183,ac,1000,SD,R,1.62,1,1,97.079,ac,20,ac,28,1,-1,1,-1,15,AC,11,-1,1,1,1,0,0,1,-1,125,1,1,1,-1,1,5500,0,0,0,0,0,41,1,-1,1,84.2,84.2,1,-1,1,-1,-1,642.14,6,1,-1,1,-1,0.1188,1,1,-1,-1,166,8,10,20,pm,129.5,-1,1,-1,51,2,10,15,0,60,314,1,-1,1,-1,-1,1.28,1,-1,1,-1,ac,60,acd,1.22,1,-1,1,-1,1,11.44,11.83,acd,23.4,1,-1,1,-1,1,-1,-1,1,0.133,1,-1,1,-1,1,-1,-1,22.3,0,1,75.9,1,-1,-1,6.488,1.5,0,48,1,0,-1,340.67,16.17,6,117,0.15,1.125,1,-1,1,1.45,5.6,2.7,186,24,90,0.051,1,MgCl2,764,75,3,1,ac,-4.3,ac,77.2,2,1,38,80,112,1,-1,1,-1,-1,7.69,8.09,8.06,1,-1,14.88,3,90,29.5,50,120,58.2,14,12,77.523,-1.414,0,16.207,16.414,110.289,1,-1,1,-1,-1,1,-1,4,1,-1,1,-1,1,-1,-1,26.7,159.3,ac,40,1,-1,1,-1,-1,1,1,98,1,Spray,5.6,20,0.04,15,11,1,-1,1,-1,642,0,0,40.5,1,-1,1,-1,1,-1,4,1,-1,1,-1,-1,1,15,62,165,1.414,0,69,44
1,3,290,1,30,78,1,med,80,1,850,565,1,2,4.5,50,100,28,1,1000/15,10.29,10,H20,2.23,40,300,3,31,10,2,350,98.4,bc,605,500,bc,173,168,bc,3000,SRD,L,-4.21,1,1,78.759,bc,40,bc,46,-1,1,1,-1,20,AD,9.75,1,1,1,-1,2,1.41421,0,0,152,0,0,0,0,0,2800,-1,1,1,-1,1,45,-1,1,1,94.4,90.9,-1,1,1,-1,-1,692.98,7,1,-1,-1,1,0.1191,-1,-1,-1,-1,159,4,20,20,pm,95,-1,-1,1,108,2,5,15,1,60,249,-1,1,1,-1,-1,1.18,-1,1,1,-1,bc,80,bcd,-2.09,-1,1,1,-1,1,10.45,9.22,bcd,16.8,-1,1,1,-1,-1,1,-1,1,0.0461,-1,1,1,-1,-1,1,-1,16.1,0,0,81.2,0,0,-1,5.9773,0,-1.5,168,-1,1,-1,112.33,27.57,7,36,0.4,1.125,-1,1,1,6.233,5.6,2.7,179,24,120,0.072,1,NaCl,739,130,1,2.33,bc,-3.8,bc,77.7,6,1,30,80,143,-1,1,1,-1,-1,7.56,7.52,7.44,-1,1,12.25,3,120,31,150,30,54.5,14,12,76.782,0,-1.414,15.5,15,103.999,-1,1,1,-1,-1,1,1,20,-1,1,1,-1,-1,1,-1,23.9,145.2,bc,63,-1,1,1,-1,-1,-1,1,90,2,Dip,5.6,30,0.04,15,12,-1,1,1,-1,601,0,0,40.7,1,-1,-1,1,1,-1,8,-1,1,1,-1,-1,-1,26,55,158,0,-1.414,64,31
1,3,285,1,30,85,1,med,75,1,850,510,1,2,5.5,50,100,27,1,1000/15,10.3,10,H20,2.03,40,300,3,32,10,2,350,98.6,abc,392,419,abc,179,182,abc,5300,SRD,L,-1.35,1,1,77.599,abc,60,abc,32,1,1,1,-1,15,BC,18.36,1,1,-1,-1,4,2,,,,-1,1,1,-1,-1,3000,-1,-1,1,1,-1,18,1,1,1,94.7,105.3,1,1,1,-1,-1,669.26,8,1,-1,-1,-1,0.1186,1,-1,1,1,197,8,20,20,am,93,1,1,1,35,2,10,15,1,80,241,1,1,1,-1,1,0.98,1,1,1,1,abcd,96,abc,1.93,1,1,1,-1,-1,19.73,16.94,abcde,18.1,1,1,1,-1,-1,-1,1,-1,0.0297,1,1,1,1,1,1,1,22.1,-1.414,-1.414,81.3,0,1,0,6.8605,0,1.5,179,0,1,-1,256.33,4.62,8,117,0.4,1.125,1,1,1,5.167,5.6,2.7,188,24,120,0.088,1,NaCl,731,130,1,2.44,abc,-14.7,abc,84.5,2,1,30,80,129,1,1,1,1,-1,7.56,7.81,7.69,1,1,13.35,3,120,22.1,150,30,55.9,14,12,77.438,0,-1.414,15.5,15,110.171,1,1,1,-1,1,-1,-1,87.7,1,1,1,1,1,1,1,21.9,243.2,abc,37,1,1,1,-1,1,-1,-1,93.5,2,Dip,4.9,30,0.04,15,15,1,1,1,-1,635,0,0,40.2,1,1,1,1,1,-1,9,1,1,1,-1,1,-1,60,55,172,0,1.414,68.5,45
1,3,290,1,30,92,1,high,20,1,850,590,1,2,4.8,75,40,12,1,1000/30,11.01,10,Salt,1.9,40,300,3,28,10,2,500,99.6,,,,d,164,159,d,1000,SRD,L,-2.08,-1,-1,65.439,d,8,d,40,-1,-1,-1,1,10,BD,15.1,-1,1,-1,1,3,1.73205,,,,1,-1,1,-1,1,1200,-1,1,1,1,-1,44,,,,,,-1,-1,-1,1,-1,491.58,9,-1,1,1,1,0.121,1,-1,-1,-1,168,,,,,,-1,-1,-1,46,3,,,,,,-1,-1,-1,1,1,0.78,,,,,,,d,6.79,-1,-1,-1,1,-1,17.37,16.36,,,-1,-1,-1,1,1,1,-1,1,0,,,,,,,,,-1.414,1.414,83.1,-1,-1,1,6.0455,0,0,122,1,1,-1,271.67,23.63,9,65,0.25,0.75,0,0,0,2.433,5.9,2.5,185,28,90,0.0405,1,NaCl,726,130,2,1.72,,,d,60.6,6,2,38,170,88,-1,-1,-1,-1,1,7.5,7.56,7.5,,,,7,30,32.9,150,90,53.5,14,12,78.742,0,0,15.5,15,108.044,-1,-1,-1,1,-1,1,1,1100,1,1,1,-1,-1,-1,1,24.3,72.1,,,-1,-1,-1,1,-1,1,1,100,2,Dip,5.4,20,0.025,25,11,-1,-1,-1,1,1037,0,0,40.6,2,1,-1,-1,-1,-1,7,-1,-1,-1,1,-1,1,8,55,165,0,0,68.9,37
2,1,230,2,20,92,1,high,70,2,800,528,1,2,2.2,75,40,9,1,1000/30,10.58,10,Salt,1.93,40,350,1,24,10,2,500,100.4,,,,ad,187,189,ad,1100,SRD,R,-7.58,-1,-1,89.089,ad,10,ad,30,1,-1,-1,1,25,CD,-1.25,-1,-1,1,1,3,1.73205,,,,1,-1,-1,1,-1,1100,1,-1,1,-1,1,22,,,,,,1,-1,-1,1,-1,475.52,10,-1,1,1,-1,0.1195,-1,1,-1,-1,158,,,,,,1,1,-1,47,3,,,,,,1,-1,-1,1,-1,1.36,,,,,,,ade,6.47,1,-1,-1,1,1,14.98,11.93,,,1,-1,-1,1,1,-1,1,-1,0.287,,,,,,,,,1.414,-1.414,85.3,0,0,1,6.3478,0,0,175,-1,-1,0,81,0,10,65,0.25,0.75,0,0,0,2.3,5.9,2.5,193,28,90,0.0575,1,CaCO3,733,130,2,1.76,,,ad,64.9,2,2,38,170,70,1,-1,-1,1,1,7.88,7.88,7.44,,,,7,30,37.5,150,90,51.9,,,,0,0,15.5,15,109.098,1,-1,-1,1,1,-1,-1,12,-1,1,1,1,1,-1,-1,20.5,112.2,,,1,-1,-1,1,1,1,-1,98.6,2,Spray,5.8,20,0.025,25,10,1,-1,-1,1,749,,,,2,-1,1,-1,-1,-1,5,1,-1,-1,1,1,1,12,55,165,0,0,69.7,34
