Ex15-07 x-bar,Ex15-07 r,Ex15-08 x-bar,Ex15-08 r,Ex15-08,Ex15-09 x1,Ex15-09 x2,Ex15-09 x3,Ex15-10 Sample,Ex15-10 x1, Ex15-10 x2,Ex15-10 x3,Ex15-10 x4,Ex15-10 x5,Ex15-11 x1, Ex15-11 x2,Ex15-11 x3,Ex15-11 x4,Ex15-11 x5,Ex15-14 x1, Ex15-14 x2,Ex15-14 x3,Ex15-14 x4,Ex15-17 ,Ex15-18 ,Ex15-19,Ex15-20,Ex15-21,Ex15-22,Ex15-23,Ex15-41,Ex15-42,Ex15-43,Ex15-44,Ex15-45,Ex15-46,Ex15-47,Ex15-48,Ex15-61,Ex15-62,Ex15-63,Ex15-64,Ex15-71,Ex15-72,Ex15-73 Diameter,Ex15-73 Diameter,Ex15-73 Diameter,Ex15-75,Ex15-76,Ex15-77,Ex15-78 Year,Ex15-78 Energy Comsumption,Ex15-79 x-bar,Ex15-79 s,Ex15-87,Ex15-91 x-bar,Ex15-91 r,Ex15-98 Month Year,Ex15-98 Retail Price,Ex15-98 Refining,Ex15-98 Distribution & Marketing,Ex15-98 Taxes,Ex15-98 Crude Oil,Ex15-99 M,Ex15-99 T,Ex15-99 W,Ex15-99 Th,Ex15-99 F,Ex15-100,Ex15-102,Ex15-111,Example15-1x1,Example15-1x2,Example15-1x3,Example15-1x4,Example15-1x5,Example15-2Concentration,Example15-4NumDefectives,Example15-5NumDefects
34.2,3,1,5.45,1.21,15.4,15.6,15.3,1,4.96,4.946,4.95,4.956,4.958,0.0629,0.0636,0.064,0.0635,0.064,163.95,164.54,163.87,165.1,51,16.8,9.94,495,96.1,28,74,0.11,0.09,106,1,7,13,44,3,13.3,89.11,9.94,104.5,68,162.27,64.03,64.002,64.019,0.12,3,60.3262,1973,4433.121,572,73.25,0.3978,139.7,1.1,Jan-00,1.289,7.8,13,32.1,47.1,2,2,2,3,1,8,10.12,6,33,29,31,32,33,102,44,6
31.6,4,2,5.39,0.95,15.4,17.1,15.2,2,4.958,4.927,4.935,4.94,4.95,0.063,0.0631,0.0622,0.0625,0.0627,163.3,162.85,163.18,165.1,52,14.9,9.93,491,94.4,45,82,0.06,0.1,116,1,6,14,63,6,14.5,90.59,9.93,99.9,71,157.47,63.995,63.992,64.001,0.15,2,60.3262,1974,4769.395,583.83,79.3,0.4019,139.8,1.4,Feb-00,1.377,17.9,7.5,30.1,44.6,2,4,0,1,2,10,9.92,4,33,31,35,37,31,94.8,48,4
31.8,4,3,6.85,1.43,16.1,16.1,13.5,3,4.971,4.929,4.965,4.952,4.938,0.0628,0.0631,0.0633,0.0633,0.063,163.13,165.14,162.8,163.81,54,18.3,10.09,501,116.2,34,97,0.1,0.13,164,3,8,8,40,0,15.3,91.03,10.09,106.7,67,157.065,63.988,64.024,64.021,0.18,0,60.3262,1975,4723.494,720.5,86.44,0.4031,140,1.3,Mar-00,1.517,15.4,12.8,27.3,44.6,2,2,2,1,2,24,9.76,8,35,37,33,34,36,98.3,32,8
33.4,5,4,6.74,1.29,13.5,12.5,10.2,4,4.94,4.982,4.97,4.953,4.96,0.0634,0.063,0.0631,0.0632,0.0633,164.08,163.43,164.03,163.77,55,16.5,9.98,501,98.8,29,86,0.11,0.08,89,7,10,10,35,5,15.3,89.46,9.98,105.2,69,160.45,64.002,63.996,63.993,0.1,1,60.3266,1976,4767.792,368.67,98.62,0.4044,140.1,1.6,Apr-00,1.465,10.1,20.2,28.3,41.4,4,4,3,3,2,6,9.35,10,30,31,33,34,33,98.4,50,10
35,4,5,5.83,1.35,18.3,16.1,17,5,4.964,4.95,4.953,4.962,4.956,0.0619,0.0628,0.063,0.0619,0.0625,165.44,163.63,163.95,164.78,55,17.1,10.11,512,95,37,71,0.14,0.14,99,8,24,16,29,9,14.3,89.78,10.11,94.8,71,157.993,63.992,64.007,64.015,0.12,4,60.3263,1977,4249.002,374,92.36,0.3984,139.8,0.9,May-00,1.485,20.2,9.2,27.9,42.7,1,1,2,2,1,5,9.6,9,33,34,35,33,34,102,29,9
32.1,2,6,7.22,0.88,19.2,17.2,19.4,6,4.969,4.951,4.955,4.966,4.954,0.0613,0.0629,0.0634,0.0625,0.0628,163.83,164.14,165.22,164.91,51,17.4,9.99,540,120.3,52,68,0.11,0.09,40,10,6,26,56,5,14.8,90.05,9.99,94.6,70,162.27,64.009,63.994,63.997,0.11,3,60.326,1978,5038.938,580.33,93.5,0.3972,139.9,1,Jun-00,1.633,22.2,8.8,25.8,43.1,1,3,2,2,1,21,8.6,12,38,37,39,40,38,98.5,31,12
32.6,7,7,6.39,0.92,14.1,12.4,11.7,7,4.96,4.944,4.957,4.948,4.951,0.063,0.0639,0.0625,0.0629,0.0627,162.94,163.64,162.3,163.78,52,15.9,10.11,492,104.8,29,83,0.14,0.1,112,5,5,32,40,2,15.2,90.63,10.11,104.4,69,160.652,63.995,64.006,63.994,0.05,2,60.3262,1979,5166.379,388.33,110.23,0.3981,139.7,1.4,Jul-00,1.551,13.2,15.8,27.2,43.8,3,2,1,1,0,10,10.46,16,30,31,32,34,31,99,46,16
33.8,9,8,6.5,1.13,15.6,13.3,13.6,8,4.969,4.949,4.963,4.952,4.962,0.0628,0.0627,0.0622,0.0625,0.0627,164.97,163.68,164.73,162.32,50,14.4,9.84,504,88.4,51,90,0.03,0.15,36,13,4,27,38,2,14.9,90.75,9.84,99.4,67,159.09,63.985,64.003,63.993,0.09,4,60.3267,1980,5494.42,559.33,74.79,0.3947,140.2,1.2,Aug-00,1.465,15.8,7.5,28.8,47.8,2,3,2,3,1,7,10.58,2,29,39,38,39,39,97.7,52,2
34.8,10,9,7.15,1.25,13.9,14.9,15.5,9,4.984,4.928,4.96,4.943,4.955,0.0623,0.0626,0.0633,0.063,0.0624,165.04,164.06,164.4,163.69,51,15,9.82,542,106.8,23,88,0.02,0.13,69,0,8,18,74,3,14.6,89.65,9.82,100.3,70,157.442,64.008,63.995,64.009,0.13,1,60.3263,1981,5470.574,562,76.53,0.4012,139.3,1.1,Sep-00,1.55,15.4,9,27.2,48.3,1,3,3,2,0,9,9.95,3,28,33,35,36,43,100,44,3
38.6,4,10,5.92,1.05,18.7,21.2,20.1,10,4.97,4.934,4.961,4.94,4.965,0.0631,0.0631,0.0633,0.0631,0.063,164.74,163.74,165.1,164.32,56,15.7,10.38,508,96.8,35,64,0.03,0.06,74,19,11,32,66,2,14.1,90.15,10.38,100.3,70,160.78,63.998,74,63.99,0.13,0,60.3269,1982,5985.352,729,49.8,0.4043,140.7,1,Oct-00,1.532,13.7,10.1,27.5,48.6,2,3,2,3,0,15,9.5,10,38,33,32,35,32,98.1,48,10
